C1 C3 C5 C7 C10 C11 C16 C19 C22 C24 C29 C30 C33 C34 C35 C36 C37 C38 C39 C40 C45 C47 C54 C55 C56 C57 C60 C63 C65 C66 C67 C115 C125,33pF,Murata,GRM1555C1H330JA01D,CAP CER 33PF 50V 5% NP0 0402,33,,
C2 C4 C6 C87 C88 C89 C92 C93 C162 C163,10nF,Murata,GRM155R71C103KA01D,CAP CER 10000PF 16V 10% X7R 0402,10,,
C8 C21 C32 C43 C48 C51 C84 C85 C86 C94 C95 C96 C99 C101 C102 C103 C107 C108 C109 C110,22pF,Murata,GRM1555C1H220JA01D,CAP CER 22PF 50V 5% NP0 0402,20,,
C9 C17 C18 C20 C23 C25 C28 C31 C44 C46 C49 C50 C58 C59 C61 C62 C64 C71 C73 C75 C77 C79 C81 C83 C91 C113 C119-C123 C128-C142 C144 C147-C154 C166 C167,100nF,Murata,GRM155R61A104KA01D,CAP CER 0.1UF 10V 10% X5R 0402,55,,
C12 C13,330pF,Murata,GRM155R71H331KA01D,CAP CER 330PF 50V 10% X7R 0402,2,,
C14,8p2,Taiyo Yuden,UMK105CG8R2DV-F,CAP CER 8.2PF 50V NP0 0402,1,,
C15 C112,180pF,Murata,GRM1555C1H181JA01D,CAP CER 180PF 50V 5% NP0 0402,2,,
C26 C27 C116 C156,47pF,Murata,GRM1555C1H470JA01D,CAP CER 47PF 50V 5% NP0 0402,4,,
C41 C42 C52 C68 C69 C70 C90 C159 C160 C165 C168,100pF,Murata,GRM1555C1H101JA01D,CAP CER 100PF 50V 5% NP0 0402,11,,
C53 C106 C161 C171,1uF,Taiyo Yuden,LMK105BJ105KV-F,CAP CER 1UF 10V 10% X5R 0402,4,,
C72 C74 C76 C78 C80 C82 C124,2.2uF,Taiyo Yuden,LMK105BJ225MV-F,CAP CER 2.2UF 10V 20% X5R 0402,7,,
C97 C98 C100,330nF,Murata,GRM155R61A334KE15D,CAP CER 0.33UF 10V 10% X5R 0402,3,,
C104 C111,3pF,Murata,GRM1555C1H3R0CA01D,CAP CER 3PF 50V NP0 0402,2,,
C105 C126 C127 C143 C145 C146,10uF,Murata,GRM21BR61A106KE19L,CAP CER 10UF 10V 10% X5R 0805,6,,
C114,3.3nF,Murata,GRM155R71H332KA01D,CAP CER 3300PF 50V 10% X7R 0402,1,,
C118 C157 C158 C164,18pF,Murata,GRM1555C1H180JA01D,CAP CER 18PF 50V 5% NP0 0402,4,,
D1 D3 D9,GSG-DIODE-TVS-BI,Murata,LXES15AAA1-100,TVS DIODE ESD .05PF 15KV 0402,3,,
D2 D6,VAALED,Lite-On,LTST-S220KRKT,LED SUPR RED CLR RT ANG 0805,2,,
D4 D7,USBLED,Lite-On,LTST-S220KGKT,LED GREEN CLEAR RT ANG 0805,2,,
D5 D8,RXLED,Lite-On,LTST-S220KSKT,LED YELLOW CLEAR RT ANG 0805,2,,
FB1 FB2 FB3,FILTER,Murata,BLM21PG221SN1D,FERRITE CHIP 220 OHM 2000MA 0805,3,,
J1,USB-MICRO-B,FCI,10103592-0001LF,CONN RCPT REV MICRO USB TYPE B,1,,
J2,RF-SHIELD-FRAME,Laird,BMI-S-230-F-R,BOARD SHIELD 2INX1.5IN FRAME,DNP,1,,
J3,RF-SHIELD-COVER,Laird,BMI-S-230-C,BOARD SHIELD 2INX1.5IN COVER,DNP,1,,
J10,GND_CLIP,Harwin,S1751-46R,PC TEST POINT TIN SMD,DNP,1,,
L2 L3 L5 L12 L13,10uH,Taiyo Yuden,BRL1608T100M,INDUCTR 10UH 220MA 20% 0603 SMD,5,,
L7,6.2nH,Taiyo Yuden,HK10056N2S-T,INDUCTOR HIFREQ 6.2+/-0.3NH 0402,1,,
L10 L11,4u7,Taiyo Yuden,NRG4026T4R7M,INDUCTOR 4.7UH 1.6A 20% SMD,2,,
P2 P4 P16,CLKOUT,Molex,73251-2121,CONN SMA JACK 50 OHM EDGE MNT W/JAM NUT & LOCK WASHER,3,,
P9,BASEBAND,Sullins,PPPC082LFBN-RC,CONN HEADER FMAL 16PS.1" DL GOLD,1,,
P20 P28,GPIO,Sullins,PPPC112LFBN-RC,CONN HEADER FMAL 22PS.1" DL GOLD,2,,
P22,I2S,Sullins,PPPC132LFBN-RC,CONN HEADER FMAL 26PS.1" DL GOLD,1,,
P26,LPC_JTAG,Sullins,GRPB052VWVN-RC,CONN HEADER .050" 10PS DL PCB AU,DNP,1,,
Q1 Q2 Q4,MOSFET_P,Fairchild,BSS84,MOSFET P-CH 50V 130MA SOT-23,3,,
Q3,MOSFET_P,Diodes Inc.,DMP2305U-7,MOSFET P-CH 20V 4.2A SOT-23,1,,
Q5,MOSFET_P,Alpha and Omega,AO3407A,MOSFET P-CH -30V -4.3A SOT23,1,,
R1 R2 R25 R26 R72 R75,470,Stackpole,RMCF0402JT470R,RES TF 1/16W 470 OHM 5% 0402,6,,
R3,22k,Panasonic,ERJ-2GEJ223X,RES 22K OHM 1/10W 5% 0402 SMD,1,,
R4,51k,Stackpole,RMCF0402FT51K0,RES TF 51K OHM 1% 0.0625W 0402,1,,
R5 R6 R7 R11 R12 R24 R29 R36 R37 R41 R48 R49 R51 R52 R54 R59 R63 R64 R65 R66 R67 R68 R85 R93 R104 R105,10k,Stackpole,RMCF0402JT10K0,RES 10K OHM 1/16W 5% 0402 SMD,21,,
R8 R9 R10 R13 R73 R76,1k,Stackpole,RMCF0402FT1K00,RES 1K OHM 1/16W 1% 0402,6,,
R14 R15 R16 R17,4k7,Stackpole,RMCF0402FT4K70,RES 4.7K OHM 1/16W 1% 0402,4,,
R18 R27 R28 R74,1k8,Stackpole,RMCF0402JT1K80,RES TF 1.8K OHM 5% 1/16W 0402,4,,
R19 R30 R31 R32 R33 R34 R77 R78 R79 R80 R81 R86 R87 R88 R89 R90 R91 R94 R96 R98 R99 R100,39,Stackpole,RMCF0402JT39R0,RES 39 OHM 1/16W 5% 0402 SMD,22,,
R20 R21 R22 R23 R57 R58 R62,0,Stackpole,RMCF0402ZT0R00,RES 0.0 OHM 1/16W 0402 SMD,7,,
R46 R55,162k,Stackpole,RMCF0402FT162K,RES TF 1/16W 162K OHM 1% 0402,2,,
R47,330k,Stackpole,RMCF0402FT330K,RES TF 1/16W 330K OHM 1% 0402,1,,
R56,715k,Stackpole,RMCF0402FT715K,RES TF 1/16W 715K OHM 1% 0402,1,,
R69,12k,Rohm,MCR01MRTF1202,RES 12.0K OHM 1/16W 1% 0402 SMD,1,,
SW1 SW2,DFU,TE Connectivity,FSMRA3JH,SWITCH TACTILE SPST-NO 0.05A 12V,2,,
T1 T2,MIX_IN_BALUN,Anaren,B0310J50100AHF,Ultra Low Profile 0805 Balun 50 to 100 ohm Balanced,2,,
